year,month,topic,author,text,likes,reposts,replies,created_at
2025,January 2025,HS2,london.gov.uk,"By working with the new government, we’ve already made progress on:

🚄 HS2 finishing at Euston
🛍️ Oxford Street transformation
🚌 TfL funding
🚔 More funding for the Met

I’ll continue to stand up for London to continue to build a fairer, safer and greener London for everyone.",247,33,6,2025-01-05T16:08:51.609Z
2025,January 2025,HS2,jonnelledge.bsky.social,"Unironically think they should bring back the north bits of HS2 under the name ""Queen Elizabeth High Speed Railway"" and then accuse anyone who opposes it of hating the late queen",215,29,13,2025-01-11T16:55:26.615Z
2025,January 2025,Sizewell C,pickardje.bsky.social,"the final price tag for building the planned Sizewell C nuclear power station in Suffolk is likely to reach close to £40bn - double its £20bn estimate in 2020 - according to people close to the negotiations over the flagship energy scheme

www.ft.com/content/0b48...",107,57,25,2025-01-14T08:02:39.066Z
2025,January 2025,Sizewell C,simonahac.bsky.social,"sizewell c, the #nuclear power plant that’s doubled in cost since 2020, yet hasn’t officially started construction!

~A$79,000,000,000!

hot on the heels of an existing construction project, this is $24,700/kW.

dutton reckons he can build it for $10,000/kW.

www.theguardian.com/business/202...",427,188,50,2025-01-14T12:59:52.680Z
2025,January 2025,Sizewell C,voicesofwentworth.bsky.social,"“The latest massive cost blowout at a planned nuclear power station in the UK demonstrates the absurdity of Peter Dutton's claims about #nuclear power in Australia”

The Sizewell C nuclear plant in Suffolk was costed at £20B in 2020 & will now cost £40B

www.crikey.com.au/2025/01/16/p...
#auspol",112,52,6,2025-01-16T11:51:43.535Z
2025,January 2025,New Hospital Programme,warrenoates1.bsky.social,"The Labour government have published their review of Johnson's New Hospital Programme which promised 40 new hospitals by 2030.

The basic finding: ""To put it simply - there were not 40 of them, they were not all new and many were not even hospitals.""

www.gov.uk/government/p...",379,188,25,2025-01-20T17:17:42.017Z
2025,January 2025,New Hospital Programme,lukepollard.bsky.social,"🚨 Plymouth to receive new emergency department, the Health Secretary confirms.

Boris Johnson promised ‘40 new hospitals’ but not a single one had been constructed when the Tories left office. Funding was shockingly due to run out in March 2025.

Today Labour announced an honest, funded programme.",23,4,2,2025-01-20T17:50:13.081Z
2025,January 2025,New Hospital Programme,matthewhodson.bsky.social,"Excellent news!
New Government funding means 9 more Hospital Emergency Departments will offer opt-out HIV testing.
This programme has already connected over 1,000 people to HIV care - saving lives and preventing new infections.
This is how we end the epidemic!
www.tht.org.uk/news/new-fun...",41,6,0,2025-01-24T10:38:31.867Z
2025,January 2025,HS2,stephenkb.bsky.social,"Mary I of England said that when she died, “Calais” would be engraved on her heart. “HS2 was actually about capacity” will be engraved on mine.",433,59,21,2025-01-30T10:45:17.040Z
2025,February 2025,Sizewell C,drpauldorfman.bsky.social,"'Latest reported cost blow-out for the UK’s proposed Sizewell C nuclear plant further underlines that the Coalition’s proposal to bring nuclear power to Australia is unrealistic.'
#auspol #auspol24
ieefa.org/resources/ne...",33,8,3,2025-02-04T10:14:19.603Z
2025,February 2025,New Hospital Programme,joepowell.bsky.social,"This funding allows us to take that step and get the project back on track after the Conservative government removed it from the national 2030 New Hospital Programme in May 2023.

4/4",6,1,0,2025-02-05T10:48:35.707Z
2025,February 2025,New Hospital Programme,carolinejmolloy.bsky.social,"Hmm like certain magical thinking managers and commissioners? 

Exhibit A

(I might also point a finger of blame at the credulous & out of his depth hack (“with only a little exaggeration”) & whoever at the BBC commissioned him to make a Panorama programme about how we don’t need hospitals any more",3,0,2,2025-02-07T19:39:38.571Z
2025,February 2025,Sizewell C,sdhamiltonvic.bsky.social,"‘The latest reported cost blow-out for the UK’s proposed Sizewell C nuclear plant further underlines that the Coalition’s proposal to bring #nuclear power to Australia is unrealistic.’

Well that’s inconvenient, Mr Dutton.

#auspol #AusVotes25 #DontRiskDutton
ieefa.org/resources/ne...",201,98,8,2025-02-09T21:54:06.381Z
2025,February 2025,Sizewell C,mrdefenestrate.bsky.social,This whole article is great and worth reading in full but just the first couple of paragraphs are a great summary of the calamitous state of recent nuclear plant builds and how absurd it is that it's being floated as a serious solution.,22,13,1,2025-02-11T11:58:17.946Z
2025,February 2025,HS2,bylinesnetwork.co.uk,"HS2 was deemed an ‘England and Wales’ project when not an inch of track was to be on Welsh soil. Now Welsh benefits are claimed for a third runway at Heathrow | Jeremy Brookman

@bylines.cymru",106,33,7,2025-02-15T01:00:23.532Z
2025,February 2025,HS2,bylinesnetwork.co.uk,"HS2 was deemed an ‘England and Wales’ project when not an inch of track was to be on Welsh soil. Now Welsh benefits are claimed for a third runway at Heathrow | Jeremy Brookman

@bylines.cymru",91,45,8,2025-02-15T21:18:14.598Z
2025,February 2025,HS2,mikegalsworthy.bsky.social,“HS2 was deemed an ‘England and Wales’ project when not an inch of track was to be on Welsh soil. Now Welsh benefits are claimed for a third runway at Heathrow.”,299,98,17,2025-02-17T08:53:11.585Z
2025,February 2025,New Hospital Programme,marbleicehook.bsky.social,"Vera Angi (Veronika Pap) – interestingly, even Anglophone releases adopted the title's Hungarian name order – is an 18-year-old nurse, whose outspokenness about working conditions makes her an ideal choice for an indoctrination programme instituted by the then-new postwar Communist government.",0,0,1,2025-02-19T09:01:37.144Z
2025,March 2025,HS2,planningtransport.co.uk,The project was woefully mismanaged by the Tories. But leaving it as a London to Birmingham route fails to realise the bulk of the benefits. www.cityam.com/hs2-is-beyon...,75,14,4,2025-03-02T08:07:47.138Z
2025,March 2025,HS2,slowbikeiain.bsky.social,"The average speed of a train from Manchester to London is 89mph. It takes around 135 minutes to cover 200 miles. HS2 was planned to make that faster.

The average speed of a train from Manchester to Leeds is just 44mph.

That's why we need Northern Powerhouse Rail.",60,14,7,2025-03-03T16:35:07.621Z
2025,March 2025,New Hospital Programme,robjimfleming.bsky.social,"NEW SAS content!

Updated language in the BMA ""doctors titles explained"" webpage, better reflecting what a career as a SAS doctor should look like, and what the contract structure is.

www.bma.org.uk/advice-and-s...",6,3,0,2025-03-03T17:17:16.242Z
2025,March 2025,New Hospital Programme,clivejonesmp.bsky.social,"Today, patients and staff from the Royal Berks Hospital joined me for a meeting with the Minister responsible for the New Hospital Building Programme, ensuring their voices were heard on the delay.

I will continue to fight for those affected, and for an earlier hospital rebuild.",8,1,0,2025-03-12T20:18:44.095Z
2025,March 2025,New Hospital Programme,clivejonesmp.bsky.social,"BBC South Today televised my meeting with the Minister responsible for the New Hospital Building Programme, where I was joined by staff and patients from the Royal Berks.

It is crucial for the Government to hear the concerns of those most affected by the hospital rebuild delays.",5,3,0,2025-03-13T13:31:32.123Z
2025,March 2025,Sizewell C,drpauldorfman.bsky.social,"""All six EPR nuclear reactors — the type proposed for Sizewell C on the Suffolk coast — have been significantly late and over budget. Hinkley Point C’s budget has already doubled and the project is four to six years late, with another four to six years still to go.""
www.ft.com/content/0625...",16,7,4,2025-03-18T10:53:48.488Z
2025,March 2025,HS2,gsoh31.bsky.social,"Always remember that Britain chose to make things this hard. It ejected itself from the EU, left the Single Market, bodged up a rubbish trade deal, cancelled HS2 and told paying students they weren't wanted. The country has chosen the steepest, rockiest, most difficult path. 🇬🇧",458,130,28,2025-03-19T08:22:51.420Z
2025,March 2025,Sizewell C,drpauldorfman.bsky.social,"""The blindingly obvious thing to give up is Sizewell C new nuclear. The Treasury already despises the nuclear industry, deep down, after literally decades of its over-claiming and under-performing. So give them some red meat.""

jonathonporritt.com/poor-old-ed-...",21,7,4,2025-03-20T08:42:24.566Z
2025,March 2025,Sizewell C,drpauldorfman.bsky.social,"EDF reduces stake in Sizewell C nuclear to 7.7 % leaving UK government with 83.8% share. France reduces its investment, UK taxpayers will foot the bill – a tough pill to swallow as chancellor slashes public funding. 

www.tortoisemedia.com/2025/03/26/f...",19,11,1,2025-03-29T08:28:26.779Z
2025,April 2025,HS2,politicshome.bsky.social,"“You could see in his [Starmer's] eyes that he gets it""

Louis Mosley, UK chief of tech firm Palantir, talks to @sophiealichurch.bsky.social about how his company is using AI to help make the NHS, MoD & HS2 more efficient

""We are just at the beginning,"" says Louis, grandson of Oswald, nephew of Max",64,33,51,2025-04-05T09:07:57.342Z
2025,April 2025,Sizewell C,dougparr.bsky.social,"And in case you’re thinking ‘we’ve got to take expensive action on climate’:

“[In] getting the biggest bang for the UK’s limited bucks, every pound of taxpayers’ money spent on Sizewell C is a pound lost to alternative quicker, cheaper clean energy projects”

www.telegraph.co.uk/business/202...",51,19,1,2025-04-05T11:28:43.000Z
2025,April 2025,Sizewell C,dougparr.bsky.social,"Sizewell C will be ""formally approved"" in June, whatever that means, as ""the level of private investment remains unclear""

And without private investment it isn't happening

It will take a massive bribe of the private sector to lend the money

www.thetimes.com/article/05d5...",37,14,7,2025-04-10T09:24:11.699Z
2025,April 2025,Sizewell C,dalevince.com,"Sizewell C being completed in ten years for £20 billion is extreme BS. The Financial Times has quoted sources putting the figure at £40bn.
 
And SMRs being potentially faster and cheaper to build - is an empty counter intuitive statement - where’s the evidence? 

buff.ly/thzRtcS",36,15,2,2025-04-10T13:51:42.115Z
2025,April 2025,HS2,trufflehog.bsky.social,"No HS2, 50% rise in bus fares, and the Great British Driver gets another treat. 

This is maybe the dumbest, pettiest thing I've seen yet. Why are they like this?",373,95,34,2025-04-16T08:05:18.190Z
2025,April 2025,New Hospital Programme,oxfordclarion.bsky.social,"In Oxford City, the MPs say the Warneford Hospital operates out of buildings dating back to the Georgian period. Building a new mental health hospital would cost significantly less than a physical health hospital, yet the project has not been included in the government's New Hospital Programme.",4,3,2,2025-04-23T09:27:10.845Z
