date,HS2,New Hospital Programme,Sizewell C
2025-01-01,20.0,0.0,1.0
2025-01-02,25.0,0.0,1.0
2025-01-03,24.0,0.0,3.0
2025-01-04,16.0,0.0,1.0
2025-01-05,17.0,0.0,2.0
2025-01-06,22.0,0.0,0.0
2025-01-07,17.0,6.0,17.0
2025-01-08,20.0,0.0,7.0
2025-01-09,44.0,0.0,9.0
2025-01-10,37.0,0.0,1.0
2025-01-11,22.0,0.0,1.0
2025-01-12,23.0,1.0,1.0
2025-01-13,34.0,0.0,3.0
2025-01-14,42.0,1.0,62.0
2025-01-15,32.0,0.0,25.0
2025-01-16,27.0,0.0,13.0
2025-01-17,15.0,0.0,7.0
2025-01-18,17.0,3.0,13.0
2025-01-19,17.0,1.0,5.0
2025-01-20,17.0,24.0,4.0
2025-01-21,48.0,11.0,2.0
2025-01-22,39.0,10.0,1.0
2025-01-23,39.0,1.0,9.0
2025-01-24,27.0,1.0,6.0
2025-01-25,21.0,1.0,4.0
2025-01-26,43.0,0.0,1.0
2025-01-27,30.0,0.0,4.0
2025-01-28,28.0,2.0,2.0
2025-01-29,233.0,0.0,2.0
2025-01-30,131.0,0.0,6.0
2025-01-31,65.0,0.0,3.0
2025-02-01,18.0,0.0,3.0
2025-02-02,29.0,0.0,3.0
2025-02-03,34.0,0.0,5.0
2025-02-04,27.0,1.0,5.0
2025-02-05,21.0,1.0,2.0
2025-02-06,18.0,0.0,12.0
2025-02-07,23.0,1.0,10.0
2025-02-08,17.0,0.0,7.0
2025-02-09,13.0,0.0,6.0
2025-02-10,51.0,0.0,5.0
2025-02-11,28.0,0.0,11.0
2025-02-12,53.0,1.0,3.0
2025-02-13,41.0,0.0,2.0
2025-02-14,24.0,0.0,5.0
2025-02-15,29.0,0.0,0.0
2025-02-16,20.0,0.0,2.0
2025-02-17,34.0,0.0,1.0
2025-02-18,31.0,0.0,1.0
2025-02-19,31.0,1.0,0.0
2025-02-20,21.0,0.0,3.0
2025-02-21,35.0,0.0,2.0
2025-02-22,11.0,0.0,3.0
2025-02-23,24.0,0.0,3.0
2025-02-24,17.0,1.0,6.0
2025-02-25,25.0,2.0,6.0
2025-02-26,27.0,0.0,2.0
2025-02-27,17.0,0.0,2.0
2025-02-28,83.0,0.0,2.0
2025-03-01,24.0,0.0,2.0
2025-03-02,30.0,0.0,1.0
2025-03-03,81.0,2.0,0.0
2025-03-04,38.0,1.0,1.0
2025-03-05,27.0,1.0,1.0
2025-03-06,13.0,0.0,1.0
2025-03-07,22.0,0.0,4.0
2025-03-08,13.0,0.0,1.0
2025-03-09,16.0,0.0,3.0
2025-03-10,26.0,0.0,0.0
2025-03-11,27.0,0.0,2.0
2025-03-12,23.0,1.0,3.0
2025-03-13,26.0,2.0,0.0
2025-03-14,19.0,0.0,0.0
2025-03-15,7.0,0.0,2.0
2025-03-16,20.0,0.0,5.0
2025-03-17,29.0,0.0,2.0
2025-03-18,28.0,2.0,6.0
2025-03-19,23.0,1.0,2.0
2025-03-20,21.0,1.0,8.0
2025-03-21,21.0,1.0,5.0
2025-03-22,12.0,0.0,1.0
2025-03-23,31.0,0.0,1.0
2025-03-24,27.0,1.0,12.0
2025-03-25,78.0,1.0,10.0
2025-03-26,33.0,0.0,7.0
2025-03-27,27.0,0.0,3.0
2025-03-28,15.0,0.0,1.0
2025-03-29,11.0,0.0,2.0
2025-03-30,17.0,0.0,3.0
2025-03-31,22.0,0.0,5.0
2025-04-01,26.0,0.0,4.0
2025-04-02,18.0,0.0,2.0
2025-04-03,20.0,0.0,29.0
2025-04-04,16.0,0.0,3.0
2025-04-05,11.0,0.0,2.0
2025-04-06,22.0,0.0,3.0
2025-04-07,13.0,0.0,9.0
2025-04-08,15.0,0.0,6.0
2025-04-09,35.0,0.0,2.0
