uri,author,author_name,text,created_at,indexed_at,likes,reposts,replies,has_media,keyword
at://did:plc:u765ttguthnmoe2dwwzacnqv/app.bsky.feed.post/3madgsaccg22m,davidoh-1.bsky.social,,"@mrjamesob.bsky.social 

Didn't Boris push the HS2 button?

Cost plus contracts with no penalty clauses...

Johnson... a Colossal Oaf..

In other news you're in

#Deadringers tonight..

Interrupting me when I'm interrupting you...

🎅

x.com/biscate9/sta...",2025-12-19T10:03:28.622Z,2025-12-19T10:03:31.331Z,0,0,0,True,HS2
at://did:plc:c72nx3phe7ki2eh6gnrtw2mp/app.bsky.feed.post/3madbm465mk23,simonaccountant.bsky.social,Simon Young 🇬🇧,"Plans to introduce trams to West Yorkshire have been pushed back by several years following a government review, delaying a project previously described by Mayor Tracy Brabin as her “biggest ambition”.

Trams, Trolleybuses, HS2 - you name it and the central government always says no to Yorkshire!",2025-12-19T08:30:34.259Z,2025-12-19T08:30:35.742Z,0,0,0,False,HS2
at://did:plc:2n4w62oei5ml75dzeun7ap7x/app.bsky.feed.post/3mada3r4sps24,rikworth.bsky.social,Rik Worth 👻,"Y’know, I was wondering who my Avatar is HS2 gag would be for.

And now I know. There is another out there!",2025-12-19T08:03:32.067Z,2025-12-19T08:03:32.933Z,1,0,1,False,HS2
at://did:plc:4hre74xtyilb36e3iqfn4poj/app.bsky.feed.post/3mad7zvaocs2h,khoffin.bsky.social,Kevin Ho-ho-ho-ffa-la-la-la-la-la-la-la-la-in,"And like HS2, it'll make a lot of money for a very small pool of people while everyone else will be disappointed that it's not thirty minutes shorter.",2025-12-19T08:02:29.279Z,2025-12-19T08:02:29.032Z,1,0,1,False,HS2
at://did:plc:2n4w62oei5ml75dzeun7ap7x/app.bsky.feed.post/3mad7rlxb6k24,rikworth.bsky.social,Rik Worth 👻,"Wait, there’s a new Avatar out?
I just thought that was something that was always promised but was never actually happening like HS2.",2025-12-19T07:57:51.098Z,2025-12-19T07:57:51.329Z,3,0,1,False,HS2
at://did:plc:ubzckxbzhf3ws7tgsl32wfvk/app.bsky.feed.post/3macqprp75c2a,sangwuin.bsky.social,Sangwuin (Commissions Open!),"Hey... ❤️
#HoneySelect #HS2 #3d #nsfw #nsfwart #tomboy #booty",2025-12-19T03:28:23.820Z,2025-12-19T03:28:29.934Z,13,3,1,True,HS2
at://did:plc:dm3lpzdjsfgarlt6r2mt7wrg/app.bsky.feed.post/3mac7ly54q226,lucypitman.bsky.social,Lucy from Chorlton,Just depressing. The North gets left out but Leeds especially. At least Manchester has a decent tram. Fucking ridiculous. Especially after the HS2 fiasco. No winners from that other than corporations,2025-12-18T22:22:02.808Z,2025-12-18T22:22:03.640Z,2,0,0,False,HS2
at://did:plc:hpu5fnfikavzdnh52nqvbdlk/app.bsky.feed.post/3mac5wrnstk2p,ajmirsepassi.bsky.social,Ali-John Mirsepassi,"It wasn't until this year that I found that Moor Street station is *right next to* HS2 Curzon Street, which means that HS2 + MRH would be a *massive* game changer for Birmingham, causing Mancunians and Yorkshiremen to blow a gasket once they clock it

www.networkrailmediacentre.co.uk/news/major-s...",2025-12-18T21:52:17.631Z,2025-12-18T21:52:20.935Z,1,0,0,True,HS2
at://did:plc:jbhqrhfcieio76z3n6ewz54m/app.bsky.feed.post/3mac5lhj2yk2v,lotternine.bsky.social,Charlotte L 🏳️‍🌈🏳️‍⚧️,"Fascinated by ""The Academy"". Still buys HawwyPotta crap. Whinges about new flats in their neighbourhood. Whinges about HS2 because oooo magical forest ooooo. Thinks that the Greens have ""left them"" even though they only voted for them once in a council by-election in 1993",2025-12-18T21:45:57.891Z,2025-12-18T21:45:58.837Z,2,0,1,False,HS2
at://did:plc:rrhhvqkxp4y4c6g2yuu3lhn3/app.bsky.feed.post/3mac4iunuwk2m,ethan79.bsky.social,Ethan Reid,Thanks for posting this. I lost my house to HS2 and spent nearly a decade fighting to get paid. It was a big part of the reason why I left the UK.,2025-12-18T21:26:37.274Z,2025-12-18T21:26:38.040Z,0,0,0,True,HS2
