date,Program,region,value
2020-12-13,HS2,England,5.0
2020-12-20,HS2,England,4.0
2020-12-27,HS2,England,3.0
2021-01-03,HS2,England,5.0
2021-01-10,HS2,England,5.0
2021-01-17,HS2,England,6.0
2021-01-24,HS2,England,14.0
2021-01-31,HS2,England,10.0
2021-02-07,HS2,England,8.0
2021-02-14,HS2,England,9.0
2021-02-21,HS2,England,8.0
2021-02-28,HS2,England,7.0
2021-03-07,HS2,England,6.0
2021-03-14,HS2,England,6.0
2021-03-21,HS2,England,6.0
2021-03-28,HS2,England,6.0
2021-04-04,HS2,England,6.0
2021-04-11,HS2,England,6.0
2021-04-18,HS2,England,7.0
2021-04-25,HS2,England,6.0
2021-05-02,HS2,England,6.0
2021-05-09,HS2,England,10.0
2021-05-16,HS2,England,6.0
2021-05-23,HS2,England,8.0
2021-05-30,HS2,England,6.0
2021-06-06,HS2,England,6.0
2021-06-13,HS2,England,8.0
2021-06-20,HS2,England,8.0
2021-06-27,HS2,England,6.0
2021-07-04,HS2,England,5.0
2021-07-11,HS2,England,5.0
2021-07-18,HS2,England,6.0
2021-07-25,HS2,England,6.0
2021-08-01,HS2,England,6.0
2021-08-08,HS2,England,6.0
2021-08-15,HS2,England,6.0
2021-08-22,HS2,England,8.0
2021-08-29,HS2,England,6.0
2021-09-05,HS2,England,7.0
2021-09-12,HS2,England,7.0
2021-09-19,HS2,England,6.0
2021-09-26,HS2,England,5.0
2021-10-03,HS2,England,6.0
2021-10-10,HS2,England,7.0
2021-10-17,HS2,England,8.0
2021-10-24,HS2,England,10.0
2021-10-31,HS2,England,7.0
2021-11-07,HS2,England,6.0
2021-11-14,HS2,England,29.0
2021-11-21,HS2,England,8.0
2021-11-28,HS2,England,5.0
2021-12-05,HS2,England,6.0
2021-12-12,HS2,England,5.0
2021-12-19,HS2,England,3.0
2021-12-26,HS2,England,3.0
2022-01-02,HS2,England,5.0
2022-01-09,HS2,England,7.0
2022-01-16,HS2,England,6.0
2022-01-23,HS2,England,7.0
2022-01-30,HS2,England,8.0
2022-02-06,HS2,England,7.0
2022-02-13,HS2,England,7.0
2022-02-20,HS2,England,5.0
2022-02-27,HS2,England,5.0
2022-03-06,HS2,England,6.0
2022-03-13,HS2,England,5.0
2022-03-20,HS2,England,6.0
2022-03-27,HS2,England,5.0
2022-04-03,HS2,England,6.0
2022-04-10,HS2,England,5.0
2022-04-17,HS2,England,5.0
2022-04-24,HS2,England,5.0
2022-05-01,HS2,England,6.0
2022-05-08,HS2,England,6.0
2022-05-15,HS2,England,6.0
2022-05-22,HS2,England,6.0
2022-05-29,HS2,England,6.0
2022-06-05,HS2,England,9.0
2022-06-12,HS2,England,6.0
2022-06-19,HS2,England,6.0
2022-06-26,HS2,England,5.0
2022-07-03,HS2,England,5.0
2022-07-10,HS2,England,5.0
2022-07-17,HS2,England,5.0
2022-07-24,HS2,England,6.0
2022-07-31,HS2,England,6.0
2022-08-07,HS2,England,6.0
2022-08-14,HS2,England,6.0
2022-08-21,HS2,England,5.0
2022-08-28,HS2,England,5.0
2022-09-04,HS2,England,6.0
2022-09-11,HS2,England,5.0
2022-09-18,HS2,England,6.0
2022-09-25,HS2,England,5.0
2022-10-02,HS2,England,6.0
2022-10-09,HS2,England,6.0
2022-10-16,HS2,England,6.0
2022-10-23,HS2,England,5.0
2022-10-30,HS2,England,8.0
2022-11-06,HS2,England,6.0
2022-11-13,HS2,England,9.0
2022-11-20,HS2,England,5.0
2022-11-27,HS2,England,5.0
2022-12-04,HS2,England,4.0
2022-12-11,HS2,England,5.0
2022-12-18,HS2,England,4.0
2022-12-25,HS2,England,4.0
2023-01-01,HS2,England,5.0
2023-01-08,HS2,England,5.0
2023-01-15,HS2,England,6.0
2023-01-22,HS2,England,16.0
2023-01-29,HS2,England,8.0
2023-02-05,HS2,England,9.0
2023-02-12,HS2,England,7.0
2023-02-19,HS2,England,7.0
2023-02-26,HS2,England,7.0
